ClassName,Category,ElementName,LocatorName,ElementDisplayedStatus,inputvalue1,inputvalue2,inputvalue3,inputvalue4,inputvalue5
Page_Incentive,eligibleactivities_notcompletedwithactivitybtn,2018 Healthy Habits Rewards,eligibleactivities_notcompletedwithactivitybtn,true,2018 Healthy Habits Rewards,$25,1 per QTR,START,You can earn up to $25 per quarter toward your quarterly reward when you or your covered dependents complete a healthy activity
Page_Incentive,eligibleactivities_notcompletedwithactivitybtn,Article and Quiz Completion,eligibleactivities_notcompletedwithactivitybtn,true,Article and Quiz Completion,$5,1 per MONTH,START,you can earn $5 a month toward your quarterly reward.
Page_Incentive,eligibleactivities_notcompletedwithactivitybtn,Complete a Group Challenge,eligibleactivities_notcompletedwithactivitybtn,true,Complete a Group Challenge,$15,2 per YEAR,Join a Challenge,When you complete a group challenge and track your activity according to the challenge requirements
Page_Incentive,eligibleactivities_notcompletedwithactivitybtn,Complete a Personal Challenge,eligibleactivities_notcompletedwithactivitybtn,true,Complete a Personal Challenge,$15,1 per QTR,Join a Challenge,When you participate in a personal challenge and track your activity
Page_Incentive,eligibleactivities_notcompletedwithactivitybtn,Device Stretch Goal(Hit 50000 steps or 300 minutes each week),eligibleactivities_notcompletedwithactivitybtn,true,Device Stretch Goal,$2,1 per WEEK,View Activity,When you use a fitness device or mobile application you can earn an extra $2 a week for every
Page_Incentive,eligibleactivities_notcompletedwithactivitybtn,Join any Personal or Group Challenge,eligibleactivities_notcompletedwithactivitybtn,true,Join any Personal or Group Challenge,$5,1 per QTR,Join a Challenge,When you join a personal or HealthTrust-sponsored challenge
Page_Incentive,eligibleactivities_notcompletedwithactivitybtn,Traack 8000 Steps OR 45 Minutes of Activity Using a Fitness Device or Mobile App,eligibleactivities_notcompletedwithactivitybtn,true,Steps OR 45 Minutes of Activity Using a Fitness Device or Mobile App,$1,3 per WEEK,View Activity,When you use a fitness device or mobile application you can earn $1 up to three times a week
Page_Incentive,eligibleactivities_notcompletedwithactivitybtn,Track with your Nutrition App,eligibleactivities_notcompletedwithactivitybtn,true,Track with your Nutrition App,$1,2 per WEEK,Connect App,When you connect your favorite nutrition app (Myfitnesspal

Page_Incentive,eligibleactivities_notcompletedwithoutactivitybtn,Play HealthQuest,eligibleactivities_notcompletedwithoutactivitybtn,true,Play HealthQuest,$5,2 per YEAR,is available twice a year through your secure account at,unusedvariable
Page_Incentive,eligibleactivities_notcompletedwithoutactivitybtn,Annual Physical,eligibleactivities_notcompletedwithoutactivitybtn,true,Annual Physical,$15,1 per YEAR,The $15 will be awarded in your portal in the quarter that claim is received by HealthTrust,unusedvariable
Page_Incentive,eligibleactivities_notcompletedwithoutactivitybtn,Condition Care Program,eligibleactivities_notcompletedwithoutactivitybtn,true,Condition Care Program,$25,2 per YEAR,The $25 will be awarded in your portal in the quarter that claim is received by HealthTrust,unusedvariable
Page_Incentive,eligibleactivities_notcompletedwithoutactivitybtn,Connect with a Colleague,eligibleactivities_notcompletedwithoutactivitybtn,true,Connect with a Colleague,$5,1 per QTR,You can earn $5 for connecting with colleagues,unusedvariable
Page_Incentive,eligibleactivities_notcompletedwithoutactivitybtn,Download the AlwaysOn Mobile App,eligibleactivities_notcompletedwithoutactivitybtn,true,Download the AlwaysOn,$10,1 per YEAR,When you download either the iOS or Android AlwaysOn,unusedvariable
Page_Incentive,eligibleactivities_notcompletedwithoutactivitybtn,Preventive Dental Visit,eligibleactivities_notcompletedwithoutactivitybtn,true,Preventive Dental Visit,$15,2 per YEAR,You can earn $15 toward your quarterly reward for each bi-yearly dental visit (up to two visits - $30 per year),unusedvariable
Page_Incentive,eligibleactivities_notcompletedwithoutactivitybtn,Preventive Screenings,eligibleactivities_notcompletedwithoutactivitybtn,true,Preventive Screenings,$15,1 per YEAR,The $15 will be awarded in your portal in the quarter that claim is received by HealthTrust,unusedvariable
Page_Incentive,eligibleactivities_notcompletedwithoutactivitybtn,Seminar/Wellness Class,eligibleactivities_notcompletedwithoutactivitybtn,true,Seminar/Wellness Class,$10,1 per QTR,When you attend an approved seminar or wellness class offered by HealthTrust,unusedvariable

Page_Incentive,eligibleactivities_completedwithactivitybtn,Contact Your Health Coach,eligibleactivities_completedwithactivitybtn,true,Contact Your Health Coach,$15,YOU CAN EARN MORE MONEY on,Talk to Coach,Your Coach can provide guidance and advice for working toward your health goals
Page_Incentive,eligibleactivities_completedwithactivitybtn,Connect your Fitness Device or Mobile App,eligibleactivities_completedwithactivitybtn,true,Connect your Fitness Device or Mobile App,$5,YOU CAN EARN MORE MONEY on,Add a Device,When you connect a fitness device or mobile application on the
Page_Incentive,eligibleactivities_completedwithactivitybtn,Self-Track Your Progress,eligibleactivities_completedwithactivitybtn,true,Self-Track Your Progress,$1,YOU CAN EARN MORE MONEY on,Track Now,Self-tracking your progress can help you stay motivated to reach your wellness goals

Page_Incentive,eligibleactivities_completedwithoutactivitybtn,Self-Directed Progress Check-in Completion,eligibleactivities_completedwithoutactivitybtn,true,Self-Directed Progress Check-in Completion,$5,YOU CAN EARN MORE MONEY on,You have the option to earn additional dollars by completing a progress check-in,unusedvariable
Page_Incentive,eligibleactivities_completedwithoutactivitybtn,Self-Directed Course Completion,eligibleactivities_completedwithoutactivitybtn,true,Self-Directed Course Completion,$15,YOU CAN EARN MORE MONEY on,Complete all lessons in any one of the self-directed courses to your reward,unusedvariable
